nombre,precio_bs,precio_usd,precio_raw,categoria_emporium,search_term,url,bcv_rate,scraped_at
PIMENTON DULCE CARMENCITA 75GR LATA CUADRADA,2863.32,7.1168,"Bs.2,863.32",08FRUV,pimenton,https://www.plansuarez.com/index.php?route=product/product&product_id=20144&search=pimenton,402.3343,2026-02-21T14:21:33.563050
PIMENTON INDIAN 50GR ESPANOL,1320.22,3.2814,"Bs.1,320.22",08FRUV,pimenton,https://www.plansuarez.com/index.php?route=product/product&product_id=12881&search=pimenton,402.3343,2026-02-21T14:21:33.583179
PIMENTON MCCORMICK 65GR ESPANOL,1937.65,4.816,"Bs.1,937.65",08FRUV,pimenton,https://www.plansuarez.com/index.php?route=product/product&product_id=19246&search=pimenton,402.3343,2026-02-21T14:21:33.602429
SARDINA EVEBA 125GR PIMENTON EN ACEITE,729.47,1.8131,Bs.729.47,08FRUV,pimenton,https://www.plansuarez.com/index.php?route=product/product&product_id=25011&search=pimenton,402.3343,2026-02-21T14:21:33.621038
ACEITE DE AJONJOLI ZUMEY 200ML,2538.89,6.3104,"Bs.2,538.89",08FRUV,ajo,https://www.plansuarez.com/index.php?route=product/product&product_id=30410&search=ajo,402.3343,2026-02-21T14:21:40.856167
AJO BADIA 85.05GR POLVO,2081.26,5.173,"Bs.2,081.26",08FRUV,ajo,https://www.plansuarez.com/index.php?route=product/product&product_id=15874&search=ajo,402.3343,2026-02-21T14:21:40.911106
AJO IBERIA 30GR POLVO PURO SOBRE,618.06,1.5362,Bs.618.06,08FRUV,ajo,https://www.plansuarez.com/index.php?route=product/product&product_id=8659&search=ajo,402.3343,2026-02-21T14:21:40.966193
AJO IBERIA 90 GR POLVO,1948.83,4.8438,"Bs.1,948.83",08FRUV,ajo,https://www.plansuarez.com/index.php?route=product/product&product_id=4612&search=ajo,402.3343,2026-02-21T14:21:41.016430
AJO INDIAN 55GR POLVO/PURO,1235.08,3.0698,"Bs.1,235.08",08FRUV,ajo,https://www.plansuarez.com/index.php?route=product/product&product_id=12612&search=ajo,402.3343,2026-02-21T14:21:41.070145
AJO INDIAN 65GR PLUS,1094.24,2.7197,"Bs.1,094.24",08FRUV,ajo,https://www.plansuarez.com/index.php?route=product/product&product_id=6642&search=ajo,402.3343,2026-02-21T14:21:41.126266
AJO MCCORMICK 105GR EN HIERBA,1807.73,4.4931,"Bs.1,807.73",08FRUV,ajo,https://www.plansuarez.com/index.php?route=product/product&product_id=23255&search=ajo,402.3343,2026-02-21T14:21:41.181075
AJO MCCORMICK 83GR PICADO,1807.73,4.4931,"Bs.1,807.73",08FRUV,ajo,https://www.plansuarez.com/index.php?route=product/product&product_id=3445&search=ajo,402.3343,2026-02-21T14:21:41.289120
AJO MCCORMICK 92GR MOLIDO,1807.73,4.4931,"Bs.1,807.73",08FRUV,ajo,https://www.plansuarez.com/index.php?route=product/product&product_id=4615&search=ajo,402.3343,2026-02-21T14:21:41.345494
AJO MIX MCCORMICK 100GR,1807.73,4.4931,"Bs.1,807.73",08FRUV,ajo,https://www.plansuarez.com/index.php?route=product/product&product_id=23253&search=ajo,402.3343,2026-02-21T14:21:41.397429
AJO PELADO EL ANDINITO 150 G NATURAL,977.11,2.4286,Bs.977.11,08FRUV,ajo,https://www.plansuarez.com/index.php?route=product/product&product_id=9292&search=ajo,402.3343,2026-02-21T14:21:41.451636
